slug;роль;ключевое слово;частота;направление;комментарий
18-on-premise-procurement;основная;информационная система и российское ПО;1311;Информационные системы и цифровая трансформация;"Крупнейшая свободная фраза по теме реестра и импортозамещения; информационный интент. В H1: «Информационная система на российском ПО: реестр Минцифры, контур, AD»"
18-on-premise-procurement;дополнительная;информационная система и государственные требования;1369;Информационные системы и цифровая трансформация;"Крупный агрегат про требования регулятора; в тело"
18-on-premise-procurement;дополнительная;информационная система и стандарты;1597;Информационные системы и цифровая трансформация;"Крупный агрегат; в тело, формулировка для заголовка слишком общая"
18-on-premise-procurement;дополнительная;информационная система и импортозамещение;58;Информационные системы и цифровая трансформация;Точная, обязательная несмотря на частоту
18-on-premise-procurement;дополнительная;автоматизация закупок 223 фз;50;BPM и автоматизация бизнес-процессов;Коммерческий, точное попадание в закупочный блок
18-on-premise-procurement;дополнительная;автоматизация закупок по 223 фз;18;BPM и автоматизация бизнес-процессов;Словоформа предыдущей
18-on-premise-procurement;дополнительная;автоматизация закупок по 44 фз;7;BPM и автоматизация бизнес-процессов;Хвост
18-on-premise-procurement;дополнительная;идентификации и аутентификации пользователя информационной системы;198;Информационные системы и цифровая трансформация;"Информационный; блок про LDAP/AD/SSO. Отдана фоном статье 05"
18-on-premise-procurement;дополнительная;информационная система и соответствие требованиям Минцифры;5;Информационные системы и цифровая трансформация;Микрочастота, дословная формулировка
18-on-premise-procurement;дополнительная;информационная система и стратегия импортозамещения;1;Информационные системы и цифровая трансформация;Микрочастота
18-on-premise-procurement;дополнительная;импортозамещение bpm систем;0;BPM и автоматизация бизнес-процессов;Частота 0
19-ai-agent-app-build;основная;информационные системы и технологии искусственного интеллекта;1371;Информационные системы и цифровая трансформация;Крупная и свободная. ВАЖНО: «информационная система и искусственный интеллект» (1986) внедрена 18.08 на agent-platforms.html — брать её нельзя. Эта фраза из того же кластера, поэтому статью надо держать в узком фокусе «агент собирает приложение», а не «ИИ в информационных системах вообще»
19-ai-agent-app-build;дополнительная;искусственный интеллект и автоматизация бизнес процессов;113;BPM и автоматизация бизнес-процессов;Информационно-коммерческий, точный
19-ai-agent-app-build;дополнительная;информационная система и подходы;1085;Информационные системы и цифровая трансформация;"Информационный агрегат; статья именно про сравнение подходов"
19-ai-agent-app-build;дополнительная;разработка и создание информационной системы;518;Информационные системы и цифровая трансформация;"Информационный; контраст с программистами. Основная у статьи 09 — здесь фоном"
19-ai-agent-app-build;дополнительная;ии автоматизация бизнес процессов;178;BPM и автоматизация бизнес-процессов;Коммерческий
19-ai-agent-app-build;дополнительная;ии агенты для автоматизации прямых закупок;10;BPM и автоматизация бизнес-процессов;Единственное «ии агенты» в ядре — частота 10
19-ai-agent-app-build;дополнительная;ии no code платформа;6;Преодоление технических лимитов и масштабирование;Микрочастота, точная формулировка
19-ai-agent-app-build;дополнительная;информационная система и техническая документация;388;Информационные системы и цифровая трансформация;"Информационный; про регламент и ТЗ"
19-ai-agent-app-build;дополнительная;информационная система и искусственный интеллект;1986;Информационные системы и цифровая трансформация;ЗАНЯТО agent-platforms.html (внедрено 18.08) — не брать
20-semantic-memory-without-vector-db;дополнительная;графовые базы данных для Big Data;0;Внутренние учетные системы для бизнеса;Частота 0 — единственное упоминание графовых СУБД в ядре
20-semantic-memory-without-vector-db;дополнительная;информационная система и знания;1338;Информационные системы и цифровая трансформация;"Не про векторный поиск; брать значит промахнуться интентом"
20-semantic-memory-without-vector-db;дополнительная;базы знаний и информационные системы;240;Информационные системы и цифровая трансформация;"То же; отдана статье 07"
20-semantic-memory-without-vector-db;дополнительная;информационная система и управление данными;2147;Информационные системы и цифровая трансформация;Слишком общий агрегат, к теме не относится
20-semantic-memory-without-vector-db;дополнительная;озеро данных vs хранилище данных;0;Внутренние учетные системы для бизнеса;Частота 0
21-catalog-matching;дополнительная;каталог данных предприятия;58;Внутренние учетные системы для бизнеса;ЗАНЯТО catalog-matching.html по стратегии 05.08 — статье базы знаний не отдавать
21-catalog-matching;дополнительная;информационная система и справочники;281;Информационные системы и цифровая трансформация;ЗАНЯТО catalog-matching.html — не отдавать
21-catalog-matching;дополнительная;дедупликация больших баз данных;0;Внутренние учетные системы для бизнеса;Частота 0
21-catalog-matching;дополнительная;автоматизация дедупликации;0;BPM и автоматизация бизнес-процессов;Частота 0
21-catalog-matching;дополнительная;маппинг полей;0;Процессный подход к управлению;Частота 0
21-catalog-matching;дополнительная;сопоставление типов;0;Процессный подход к управлению;Частота 0
21-catalog-matching;дополнительная;каталог корпоративных данных;0;Корпоративная аналитика и Big Data;Частота 0
21-catalog-matching;дополнительная;автоматическое обновление цен в каталоге из прайс-листа поставщика;0;Автоматизация рутинных операций и отчетов;Частота 0
22-information-system-constructor;основная;создание информационной системы это;1318;Информационные системы и цифровая трансформация;Крупнейшая свободная фраза кластера, ровно тема статьи. Информационный интент. Продуктовая informatsionnaya-sistema.html держит определительный слой («что такое информационная система», 6170) — здесь берётся деятельностный слой «как создать», конфликта нет
22-information-system-constructor;дополнительная;разработка и внедрение информационной системы;921;Информационные системы и цифровая трансформация;"Информационный; отдан фоном статье 09"
22-information-system-constructor;дополнительная;информационная система и внедрение;3718;Информационные системы и цифровая трансформация;"Крупный агрегат; в тело"
22-information-system-constructor;дополнительная;проектирование информационной системы ис;170;Информационные системы и цифровая трансформация;Информационный
22-information-system-constructor;дополнительная;что такое разработка информационной системы;150;Информационные системы и цифровая трансформация;Вопросная форма — в FAQ
22-information-system-constructor;дополнительная;проектирование информационной системы включает;123;Информационные системы и цифровая трансформация;Информационный
22-information-system-constructor;дополнительная;разработка и создание информационной системы предприятия;67;Информационные системы и цифровая трансформация;Информационный хвост
22-information-system-constructor;дополнительная;информационная система и конструкторы;54;Информационные системы и цифровая трансформация;"ОСТОРОЖНО: назначена главной странице стратегией 05.08 как слабый кандидат. Проверить, внедрена ли; если нет — забирать сюда, тема совпадает точнее"
22-information-system-constructor;дополнительная;конструктор баз данных no-code;9;BPM и автоматизация бизнес-процессов;Микрочастота, но точная формулировка продукта
22-information-system-constructor;дополнительная;конструктор баз данных без кода;7;BPM и автоматизация бизнес-процессов;То же, кириллический вариант
22-information-system-constructor;дополнительная;информационная система и без кода;27;Информационные системы и цифровая трансформация;"Отдана статье 24; здесь фоном"
22-information-system-constructor;дополнительная;создание веб приложений без кода;8;Преодоление технических лимитов и масштабирование;Хвост
23-security-fault-tolerance;основная;информационная система и защита данных;1928;Информационные системы и цифровая трансформация;Крупная и свободная. ВАЖНО: «информационная система и безопасность» (12384) внедрена 18.08 на informatsionnaya-sistema.html — точное вхождение этой фразы в статье запрещено, иначе каннибализация в самом крупном кластере ядра
23-security-fault-tolerance;дополнительная;информационная система и доступность;549;Информационные системы и цифровая трансформация;"Информационный; отказоустойчивость = доступность. Разведена: статье 05 не отдаём"
23-security-fault-tolerance;дополнительная;информационная система и кибербезопасность;379;Информационные системы и цифровая трансформация;Информационный
23-security-fault-tolerance;дополнительная;информационная система и надежность;347;Информационные системы и цифровая трансформация;Информационный, точный
23-security-fault-tolerance;дополнительная;информационная система и резервное копирование;126;Информационные системы и цифровая трансформация;"Точный; георезервирование и бэкапы. Пересекается со статьёй 15 — там фоном"
23-security-fault-tolerance;дополнительная;безопасность и надежность информационной системы;90;Информационные системы и цифровая трансформация;Дословно повторяет заголовок статьи — обязательна
23-security-fault-tolerance;дополнительная;надежность и качество информационных систем;45;Информационные системы и цифровая трансформация;Информационный
23-security-fault-tolerance;дополнительная;информационная система и отказоустойчивость;29;Информационные системы и цифровая трансформация;Единственное точное «отказоустойчивость» в ядре — обязательна
23-security-fault-tolerance;дополнительная;отказоустойчивость автоматизации;17;BPM и автоматизация бизнес-процессов;Хвост
23-security-fault-tolerance;дополнительная;учет информационных систем персональных данных;352;Автоматизация рутинных операций и отчетов;"Информационный; 152-ФЗ. Отдан фоном статье 05"
23-security-fault-tolerance;дополнительная;защита информации и информационных систем;5203;Информационные системы и цифровая трансформация;ОЧЕНЬ крупная, но это ядро того же кластера, что занят продуктовой страницей — только в теле и осторожно
23-security-fault-tolerance;дополнительная;информационная система и безопасность;12384;Информационные системы и цифровая трансформация;ЗАНЯТО informatsionnaya-sistema.html (внедрено 18.08) — не брать
24-pure-business-design;основная;информационная система и без кода;27;Информационные системы и цифровая трансформация;Частота 27 — единственная свободная фраза, совпадающая с тезисом «без конструктора и без кода». Запросов «приложение по описанию», «по промту», «pure business design» в ядре нет
24-pure-business-design;дополнительная;создание веб приложений без кода;8;Преодоление технических лимитов и масштабирование;Микрочастота, точная формулировка
24-pure-business-design;дополнительная;ии no code платформа;6;Преодоление технических лимитов и масштабирование;"Микрочастота; отдана фоном статье 19"
24-pure-business-design;дополнительная;no code платформы;117;Преодоление технических лимитов и масштабирование;ОСТОРОЖНО: назначена главной странице стратегией 05.08 — брать только в тело и только если на главной не внедрена
24-pure-business-design;дополнительная;информационная система и подходы;1085;Информационные системы и цифровая трансформация;"Информационный агрегат; отдан фоном статье 19"
24-pure-business-design;дополнительная;менеджер по описанию бизнес процессов;21;Процессный подход к управлению;Формально содержит «по описанию», но интент другой — брать НЕ надо, приведено чтобы закрыть вопрос
24-pure-business-design;дополнительная;генерация интерфейса;0;Процессный подход к управлению;Частота 0
24-pure-business-design;дополнительная;информационная система и настройка;539;Информационные системы и цифровая трансформация;Отдана фоном статье 10
